,Company,Business,Location
100,Rubrik,Live data access for recovery and applica0on,"Palo Alto, CA"
101,SeatGeek,Event >cket marketplace,"New York, NY"
102,Segment,API for customer data,"San Francisco, CA"
103,SendGrid,Cloud-based enterprise email delivery service,"Denver, CO"
104,Silver Peak Systems,SoFware defined WAN devices,"Santa Clara, CA"
105,Security,Wireless home security systems,"Boston, MA"
106,Simplivity,IT infrastructure plaKorm,"Boston, MA"
107,Slack Technologies,Enterprise communica>on soFware,"San Francisco, CA"
108,Skyhigh Networks,Security for shadow and securely enable sanc>oned IT,"Campbell, CA"
109,SoFi,Student loan marketplace,"San Francisco, CA"
110,Soundcloud,Online audio distribu>on plaKorm for musicians,"San Francisco, CA"
111,Squarespace,Consumer focused online publishing tools,"New York, NY"
112,S>tch Fix,Personal styling plaGorm,"San Francisco, CA"
113,Stripe,APIs and tools enabling businesses to accept,"San Francsico, CA"
114,Sumo Logic,Cloud-based log management and analy:cs,"Redwood City, CA"
115,Tanium,Enterprise security and systems management solu:ons,"Emeryville, CA"
116,Tastemade,Online food oriented des:na:on,"Santa Monica, CA"
117,TeeSpring,Commerce plaGorm for entrepreneurs,"San Francisco, CA"
118,Security,enterprise networksUnified security monitoring solu:ons for,"Bal:more, MD"
119,Think Finance,Online financial products for underbanked consumers,"Dallas, TX"
120,Thought Spot,Rela:onal search engine designed for data analy:cs,"Palo Alto, CA"
121,ThredUp,Online consignment shop,"San Francisco, CA"
122,Thrive Marketplace,Online healthy food retailer,"Los Angeles, CA"
123,Thumbtack,Online marketplace for home-related services,"San Francisco, CA"
124,Turo,Car sharing rental marketplace,"San Francsico, CA"
125,UserTes(ng.com,Web tes;ng service,"San Francisco, CA"
126,Vox Media,"Online publisher focused on sports, personal","Washington, DC"
127,VSCO,Photography apps and tools,"Oakland, CA"
128,Warby Parker,Online eyewear retailer,"New York, NY"
129,Weebly,Website and online store crea;on tools,"San Francisco, CA"
130,Wish,Mobile commerce plaGorm,"San Francisco, CA"
131,YapStone,Electronic payments for online marketplaces,"Walnut Creek, CA"
132,ZScaler,Cloud-delivered security services,"San Jose, CA"
